;cm_projectno;orderno;shop;partno;order_type;order_date;closing_date;state;internal_repair;serial_batch_no;detail_state;qty_order;backorder;description;condition;receiving_number;delivery_date;condition_POST;ultima_act;ARRIVAL_IN_SHOP;PAUSED;PAUSING_REASON_I;MUTATOR;year;month;day;year_month;tat;TAT_logistic;TAT_ack_to_close;order_date_mean;tat_mean;TAT_ack_to_close_mean;TAT_logistic_mean;indice;TAT_KPI_month
115;CM8784;R0529718;METROLOGY;19351;R;2018-10-26;2019-02-06;C;Y;1644008;R;1,0;0,0;TOUCH TESTER DESCO;CA;93105;2019-02-06;R;2023-06-28T11:53:20.039Z;2018-10-30;N;5;AR027170;2018;10;26;2018-10;103;4,0;99,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
116;CM6476;R0221918;METROLOGY-A;TQFR250E;R;2018-09-28;2018-11-12;C;Y;0905202844;R;1,0;0,0;TORQUIMETRO;CA;85350;2018-11-12;R;2023-06-28T11:53:20.039Z;2018-10-30;N;-1;AU031609;2018;9;28;2018-09;45;32,0;13,0;2018-09;77,12101910828025;48,787234042553195;36,861702127659576;0;0,0
117;CM8592;R0505018;METROLOGY;ACCURA 5;R;2018-10-25;2019-08-21;C;Y;140929083;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;112970;2019-08-21;R;2023-06-28T11:53:20.039Z;2018-10-31;N;-1;AR013812;2018;10;25;2018-10;300;6,0;294,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
118;CM8441;R0483218;METROLOGY;111.11.6840;R;2018-10-23;2019-01-05;C;Y;1684;R;1,0;0,0;MANOMETRO;CA;89972;2019-01-05;R;2023-06-28T11:53:20.039Z;2018-10-31;N;-1;AR013812;2018;10;23;2018-10;74;8,0;66,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
119;CM7594;R0391418;METROLOGY;CU-2581-JT;R;2018-10-16;2019-02-04;C;Y;1598;R;1,0;0,0;MANOMETRO;CA;92814;2019-02-04;R;2023-06-28T11:53:20.039Z;2018-10-31;N;-1;AR014968;2018;10;16;2018-10;111;15,0;96,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
120;CM8443;R0483418;METROLOGY;600 PSI;R;2018-10-23;2019-07-31;C;Y;1690;R;1,0;0,0;MANOMETRO;CA;110816;2019-07-31;R;2023-06-28T11:53:20.039Z;2018-10-31;N;-1;AR013812;2018;10;23;2018-10;281;8,0;273,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
121;CM8434;R0482918;METROLOGY;111.11.6840;R;2018-10-23;2019-03-27;C;Y;1623;R;1,0;0,0;MANOMETRO;US;98083;2019-03-27;US;2023-06-28T11:53:20.039Z;2018-10-31;N;-1;AR013158;2018;10;23;2018-10;155;8,0;147,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
122;CM9157;R0572818;METROLOGY;F70199-52;R;2018-10-31;2018-11-14;C;Y;7885201041;R;1,0;0,0;INFLATION TOOL TIRE DIGITAL;CA;85572;2018-11-14;R;2023-06-28T11:53:20.039Z;2018-10-31;N;-1;AR013812;2018;10;31;2018-10;14;0,0;14,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
123;CM8442;R0483318;METROLOGY;11.11.684;R;2018-10-23;2019-02-04;C;Y;1689;R;1,0;0,0;MANOMETRO;CA;92816;2019-02-04;R;2023-06-28T11:53:20.039Z;2018-10-31;N;-1;AR026917;2018;10;23;2018-10;104;8,0;96,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
124;CM8471;R0489218;METROLOGY;600 PSI;R;2018-10-23;2022-06-01;C;Y;8385;R;1,0;0,0;MANOMETRO;CA;179102;2022-06-01;R;2023-06-28T11:53:20.039Z;2018-10-31;N;2;AR027885;2018;10;23;2018-10;1317;8,0;1309,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
125;CM4336;R0037218;METROLOGY;315BAR;R;2018-09-07;2019-03-19;C;Y;3316;R;1,0;0,0;MANOMETRO;CA;97154;2019-03-19;R;2023-06-28T11:53:20.039Z;2018-10-31;N;-1;AR013158;2018;9;7;2018-09;193;54,0;139,0;2018-09;77,12101910828025;48,787234042553195;36,861702127659576;0;0,0
126;CM9046;R0554318;METROLOGY;NTG2604-S;R;2018-10-30;2018-11-13;C;Y;3047;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;85457;2018-11-13;R;2023-06-28T11:53:20.039Z;2018-10-31;N;-1;AR013812;2018;10;30;2018-10;14;1,0;13,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
127;CM9164;R0574618;METROLOGY-A;H-2016-01;R;2018-10-31;2018-11-02;C;Y;2915000410;R;1,0;0,0;MANOMETRO;CA;84581;2018-11-02;R;2023-06-28T11:53:20.039Z;2018-10-31;N;-1;AU047713;2018;10;31;2018-10;2;0,0;2,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
128;CM8419;R0479418;METROLOGY;8844;R;2018-10-23;2018-11-16;C;Y;2374;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;85892;2018-11-16;R;2023-06-28T11:53:20.039Z;2018-10-31;N;-1;AR013812;2018;10;23;2018-10;24;8,0;16,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
129;CM8470;R0489118;METROLOGY;300 PSI;R;2018-10-23;2018-11-21;C;Y;8692;R;1,0;0,0;MANOMETRO;CA;86256;2018-11-21;R;2023-06-28T11:53:20.039Z;2018-10-31;N;-1;AR013812;2018;10;23;2018-10;29;8,0;21,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
130;CM8921;R0540118;METROLOGY;1 IN;R;2018-10-29;2019-04-23;C;Y;2539;R;1,0;0,0;MICROMETRO DE EXTERIORES DE 0-1INCH;CA;100795;2019-04-23;R;2023-06-28T11:53:20.039Z;2018-11-01;N;-1;AR013158;2018;10;29;2018-10;176;3,0;173,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
131;CM8522;R0495618;METROLOGY;25-50 MM;R;2018-10-24;2019-01-11;C;Y;383548;R;1,0;0,0;MICROMETRO;CA;90551;2019-01-11;R;2023-06-28T11:53:20.039Z;2018-11-01;N;-1;AR013158;2018;10;24;2018-10;79;8,0;71,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
132;CM7907;R0430918;METROLOGY-A;H-2016-01;R;2018-10-18;2018-11-01;C;Y;T-31649;R;1,0;0,0;MANOMETRO;CA;84417;2018-11-01;R;2023-06-28T11:53:20.039Z;2018-11-01;N;-1;AU031609;2018;10;18;2018-10;14;14,0;0,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
133;CM7909;R0431018;METROLOGY-A;14-6807-6011;R;2018-10-18;2018-11-01;C;Y;3097000401;R;1,0;0,0;GAUGE - TIRE SERVICING;CA;84415;2018-11-01;R;2023-06-28T11:53:20.039Z;2018-11-01;N;-1;AU001742;2018;10;18;2018-10;14;14,0;0,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
134;CM7910;R0431318;METROLOGY-A;VALR-212-4500;R;2018-10-18;2018-11-05;C;Y;12159;R;1,0;0,0;MANOMETRO;CA;84750;2018-11-05;R;2023-06-28T11:53:20.039Z;2018-11-02;N;-1;AU031609;2018;10;18;2018-10;18;15,0;3,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
135;CM9355;R0603018;METROLOGY;TE250FU;R;2018-11-02;2019-07-06;C;Y;10455;R;1,0;0,0;TORQUIMETRO;CA;108116;2019-07-06;R;2023-06-28T11:53:20.039Z;2018-11-02;N;-1;AR013158;2018;11;2;2018-11;246;0,0;246,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
136;CM9220;R0583118;METROLOGY;8844;R;2018-11-01;2018-12-11;C;Y;2804;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;87942;2018-12-11;R;2023-06-28T11:53:20.039Z;2018-11-02;N;-1;AR013812;2018;11;1;2018-11;40;1,0;39,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
137;CM9324;R0599718;METROLOGY-A;AU-MAN-35;R;2018-11-02;2019-03-22;C;Y;HF6122178;R;1,0;0,0;MANOMETRO;CA;97566;2019-03-22;R;2023-06-28T11:53:20.039Z;2018-11-05;N;-1;AU031609;2018;11;2;2018-11;140;3,0;137,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
138;CM7971;R0440818;METROLOGY;0150MM;R;2018-10-19;2019-01-14;C;Y;2090;R;1,0;0,0;CALIBRE;CA;90763;2019-01-14;R;2023-06-28T11:53:20.039Z;2018-11-05;N;-1;AR013812;2018;10;19;2018-10;87;17,0;70,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
139;CM9375;R0607418;METROLOGY;TE602FUA;R;2018-11-02;2018-11-16;C;Y;10966;R;1,0;0,0;TORQUIMETRO;CA;85905;2018-11-16;R;2023-06-28T11:53:20.039Z;2018-11-05;N;-1;AR014968;2018;11;2;2018-11;14;3,0;11,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
140;CM11184;R0850218;METROLOGY-A;TES-1300;R;2018-12-05;2018-12-13;C;Y;50304312;R;1,0;0,0;TERMOMETRO CON TC;CA;88190;2018-12-13;R;2023-06-28T11:53:20.039Z;2018-11-05;N;-1;AU031609;2018;12;5;2018-12;8;0,0;8,0;2018-12;104,79310344827586;44,44444444444444;80,51851851851852;3;-100,47500000000001
141;CM9336;R0600618;METROLOGY;NTG2604-S;R;2018-11-02;2018-11-14;C;Y;67775;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;85652;2018-11-14;R;2023-06-28T11:53:20.039Z;2018-11-05;N;-1;AR013812;2018;11;2;2018-11;12;3,0;9,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
142;CM5508;R0162418;METROLOGY;150MMDIGIMESS;R;2018-09-21;2018-12-08;C;Y;1096;R;1,0;0,0;CALIBRE;CA;87769;2018-12-08;R;2023-06-28T11:53:20.039Z;2018-11-05;N;-1;AR013158;2018;9;21;2018-09;78;45,0;33,0;2018-09;77,12101910828025;48,787234042553195;36,861702127659576;0;0,0
143;CM9437;R0617718;METROLOGY;ACCURA 5;R;2018-11-05;2018-11-06;C;Y;140929038;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;84802;2018-11-06;R;2023-06-28T11:53:20.039Z;2018-11-05;N;-1;AR013812;2018;11;5;2018-11;1;0,0;1,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
144;CM7788;R0410618;METROLOGY-A;AU-MAN-4500;R;2018-10-17;2018-11-07;C;Y;15672;R;1,0;0,0;MANÓMETRO;CA;85017;2018-11-07;R;2023-06-28T11:53:20.039Z;2018-11-06;N;-1;AU031609;2018;10;17;2018-10;21;20,0;1,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
145;CM9047;R0554418;METROLOGY;F70199-52;R;2018-10-30;2018-11-14;C;Y;7372;R;1,0;0,0;INFLATION TOOL TIRE DIGITAL;CA;85651;2018-11-14;R;2023-06-28T11:53:20.039Z;2018-11-06;N;-1;AR013812;2018;10;30;2018-10;15;7,0;8,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
146;CM5026;R0094218;METROLOGY-A;TQR250E;R;2018-09-14;2018-12-12;C;Y;1005201986;R;1,0;0,0;TORQUIMETRO;CA;88086;2018-12-12;R;2023-06-28T11:53:20.039Z;2018-11-06;N;-1;AU031609;2018;9;14;2018-09;89;53,0;36,0;2018-09;77,12101910828025;48,787234042553195;36,861702127659576;0;0,0
147;CM5418;R0145018;METROLOGY-A;AU-MAN-200;R;2018-09-20;2018-11-09;C;Y;E317147;R;1,0;0,0;MANOMETRO;CA;85174;2018-11-09;R;2023-06-28T11:53:20.039Z;2018-11-07;N;-1;AU001742;2018;9;20;2018-09;50;48,0;2,0;2018-09;77,12101910828025;48,787234042553195;36,861702127659576;0;0,0
148;CM8589;R0504618;METROLOGY;BOP6500PS;R;2018-10-25;2019-03-11;C;Y;3416;R;1,0;0,0;MANOMETRO;US;96245;2019-03-11;US;2023-06-28T11:53:20.039Z;2018-11-09;N;-1;AR013158;2018;10;25;2018-10;137;15,0;122,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
149;CM9712;R0653018;METROLOGY-A;TE602FUA;R;2018-11-09;2018-12-13;C;Y;10896;R;1,0;0,0;TORQUIMETRO;CA;88210;2018-12-13;R;2023-06-28T11:53:20.039Z;2018-11-09;N;-1;AU031609;2018;11;9;2018-11;34;0,0;34,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
150;CM9717;R0652618;METROLOGY-A;6004MFRMH;R;2018-11-09;2019-02-06;C;Y;0610040263;R;1,0;0,0;TORQUIMETRO;CA;93099;2019-02-06;R;2023-06-28T11:53:20.039Z;2018-11-09;N;-1;AU031609;2018;11;9;2018-11;89;0,0;89,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
151;CM9589;R0639418;METROLOGY;NTG2604-S;R;2018-11-07;2018-11-13;C;Y;14038/001;R;1,0;0,0;MANOMETRO DE RUEDAS;CA;85450;2018-11-13;R;2023-06-28T11:53:20.039Z;2018-11-09;N;-1;AR013812;2018;11;7;2018-11;6;2,0;4,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
152;CM9713;R0653318;METROLOGY-A;TE12FUA;R;2018-11-09;2019-02-08;C;Y;41103;R;1,0;0,0;TORQUIMETRO;CA;93392;2019-02-08;R;2023-06-28T11:53:20.039Z;2018-11-09;N;-1;AU031609;2018;11;9;2018-11;91;0,0;91,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
153;CM9724;R0656918;METROLOGY-A;500-171-20B;R;2018-11-09;2018-11-12;C;Y;09900890;R;1,0;0,0;CALIBRE;CA;85322;2018-11-12;R;2023-06-28T11:53:20.039Z;2018-11-09;N;-1;AU031609;2018;11;9;2018-11;3;0,0;3,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
154;CM9720;R0653618;METROLOGY-A;8507BANCOESD;R;2018-11-09;2018-11-12;C;Y;AU04;R;1,0;0,0;BANCO DE TRABAJO ESD;CA;85314;2018-11-12;R;2023-06-28T11:53:20.039Z;2018-11-09;N;-1;AU031609;2018;11;9;2018-11;3;0,0;3,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
155;CM9574;R0638318;METROLOGY;CM-6421;R;2018-11-07;2018-12-06;C;Y;CH601842;R;1,0;0,0;CALIBRE;CA;87574;2018-12-06;R;2023-06-28T11:53:20.039Z;2018-11-09;N;-1;AR013158;2018;11;7;2018-11;29;2,0;27,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
156;CM8279;R0472318;METROLOGY;MANOMHYD600BAR-01;R;2018-10-22;2018-11-13;C;Y;3297;R;1,0;0,0;MANOMETRO;CA;85493;2018-11-13;R;2023-06-28T11:53:20.039Z;2018-11-13;N;-1;AR013812;2018;10;22;2018-10;22;22,0;0,0;2018-10;79,55089820359281;74,3103448275862;30,367816091954023;1;34,34664560398874
157;CM9871;R0678218;METROLOGY;TE-602FUA;R;2018-11-13;2018-12-08;C;Y;8264;R;1,0;0,0;TORQUIMETRO;CA;87800;2018-12-08;R;2023-06-28T11:53:20.039Z;2018-11-13;N;-1;AR013158;2018;11;13;2018-11;25;0,0;25,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
158;CM9865;R0677818;METROLOGY;TE602FUA;R;2018-11-13;2018-11-16;C;Y;10964;R;1,0;0,0;TORQUIMETRO;CA;85975;2018-11-16;R;2023-06-28T11:53:20.039Z;2018-11-13;N;-1;AR014968;2018;11;13;2018-11;3;0,0;3,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
159;CM9827;R0672518;METROLOGY;USG;R;2018-11-12;2019-03-23;C;Y;400PSI;R;1,0;0,0;VACUOMETRO;US;97739;2019-03-23;US;2023-06-28T11:53:20.039Z;2018-11-14;N;-1;AR013158;2018;11;12;2018-11;131;2,0;129,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
160;CM9826;R0672618;METROLOGY;200 PSI;R;2018-11-12;2018-12-29;C;Y;A24378;R;1,0;0,0;MANOMETRO;CA;89551;2018-12-29;R;2023-06-28T11:53:20.039Z;2018-11-14;N;-1;AR013812;2018;11;12;2018-11;47;2,0;45,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
161;CM9834;R0673218;METROLOGY;500196-20B;R;2018-11-12;2018-11-27;C;Y;13913566;R;1,0;0,0;CALIBRE  DIGITAL;CA;86600;2018-11-27;R;2023-06-28T11:53:20.039Z;2018-11-14;N;-1;AR023252;2018;11;12;2018-11;15;2,0;13,0;2018-11;113,50442477876106;89,1;18,057142857142857;2;16,59893958744533
