cm_projectno,orderno,shop,cm_projectno_i,detailno_i,partno,orderno_i,order_type,order_date,closing_date,state,internal_repair,serial_batch_no,detail_state,qty_order,backorder,description,condition,receiving_number,detailno_i_rec,receiving_detail_number_id,qty_rec,partno_rec,delivery_date,serial_batch_rec,condition_POST,tat,ultima_act,ARRIVAL_IN_SHOP,DETAILNO_I_CM,PAUSED,PAUSING_REASON_I,MUTATOR,TAT_ack_to_close
CM102571,R1774323,METROLOGY,102571,310902,3000PSI,247433,R,2023-06-21,2023-06-23,C,Y,19007,R,1.0,0.0,MANOMETRO,CA,217306,310902,585157,1.0,3000PSI,2023-06-23,19007,R,2,2023-06-28T11:53:20.039Z,,102571,N,-1,AR027170,
CM102571,R1774323,METROLOGY,102571,310902,3000PSI,247433,R,2023-06-21,2023-06-23,C,Y,19007,R,1.0,0.0,MANOMETRO,CA,217306,310902,585157,1.0,3000PSI,2023-06-23,19007,R,2,2023-06-28T11:53:20.039Z,2023-06-21,310902,N,2,AR027170,2
CM102610,R1783323,METROLOGY,102610,311040,NTG2604-S,247559,R,2023-06-21,2023-06-25,C,Y,17275/010,R,1.0,0.0,MANOMETRO DE RUEDAS,CA,217374,311040,585417,1.0,NTG2604-S,2023-06-25,17275/010,R,4,2023-06-28T11:53:20.039Z,,102610,N,-1,AR029578,
CM102610,R1783323,METROLOGY,102610,311040,NTG2604-S,247559,R,2023-06-21,2023-06-25,C,Y,17275/010,R,1.0,0.0,MANOMETRO DE RUEDAS,CA,217374,311040,585417,1.0,NTG2604-S,2023-06-25,17275/010,R,4,2023-06-28T11:53:20.039Z,2023-06-25,311040,N,2,AR029578,0
CM10298,R0736018,METROLOGY,10298,93915,TE 602 A,68711,R,2018-11-20,2019-01-05,C,Y,15195,R,1.0,0.0,TORQUIMETRO,CA,89975,93915,263243,1.0,TE602A,2019-01-05,15195,R,46,2023-06-28T11:53:20.039Z,,10298,N,-1,AR026509,
CM10298,R0736018,METROLOGY,10298,93915,TE 602 A,68711,R,2018-11-20,2019-01-05,C,Y,15195,R,1.0,0.0,TORQUIMETRO,CA,89975,93915,263243,1.0,TE602A,2019-01-05,15195,R,46,2023-06-28T11:53:20.039Z,2018-11-20,93915,N,-1,AR026509,46
CM10310,R0737018,METROLOGY-A,10310,93936,H-2016-01,68728,R,2018-11-20,2019-03-07,C,Y,T25460,R,1.0,0.0,MANOMETRO,CA,95896,93936,278009,1.0,H-2016-01,2019-03-07,T25460,R,107,2023-06-28T11:53:20.039Z,,10310,N,-1,AU031609,
CM10310,R0737018,METROLOGY-A,10310,93936,H-2016-01,68728,R,2018-11-20,2019-03-07,C,Y,T25460,R,1.0,0.0,MANOMETRO,CA,95896,93936,278009,1.0,H-2016-01,2019-03-07,T25460,R,107,2023-06-28T11:53:20.039Z,2018-12-17,93936,N,-1,AU031609,80
CM10314,R0737418,METROLOGY-A,10314,93940,H-2016-01,68732,R,2018-11-20,2018-12-06,C,Y,T-32387,R,1.0,0.0,MANOMETRO,CA,87577,93940,256621,1.0,H-2016-01,2018-12-06,T-32387,R,16,2023-06-28T11:53:20.039Z,2018-12-06,93940,N,-1,AU031609,0
CM10314,R0737418,METROLOGY-A,10314,93940,H-2016-01,68732,R,2018-11-20,2018-12-06,C,Y,T-32387,R,1.0,0.0,MANOMETRO,CA,87577,93940,256621,1.0,H-2016-01,2018-12-06,T-32387,R,16,2023-06-28T11:53:20.039Z,,10314,N,-1,AU031609,
